CE,CP,EPS1,FS1,FS2,PS1,PS2,PS3,PS4,PS5,PS6,SE,TS1,TS2,TS3,TS4,VS1,profile
19.309,1.511,2231.6,7.666,8.929,145.87,120.59,2.0,0.0,8.431,8.373,69.445,57.367,61.41,58.809,52.535,0.635,0
19.395,1.521,2228.0,7.798,8.936,145.59,120.46,2.023,0.0,8.373,8.318,70.181,57.445,61.25,58.879,52.551,0.667,0
19.155,1.495,2229.8,7.714,8.933,145.96,120.46,1.914,0.0,8.415,8.37,69.871,57.445,61.586,58.797,52.551,0.586,0
18.932,1.489,2230.0,7.535,8.941,145.98,120.4,1.937,0.0,8.389,8.347,69.091,57.355,61.668,58.809,52.633,0.597,0
18.893,1.485,2227.8,7.816,8.938,146.03,120.61,1.937,0.0,8.42,8.364,70.069,57.359,61.395,58.777,52.633,0.645,0
18.858,1.472,2229.8,7.699,8.903,145.91,120.65,1.883,0.0,8.378,8.339,69.093,57.5,61.668,58.691,52.555,0.583,0
18.991,1.475,2229.8,7.749,8.962,145.94,120.52,2.023,0.0,8.422,8.378,69.497,57.371,61.668,58.687,52.555,0.592,0
18.839,1.469,2233.6,7.684,8.943,145.99,120.51,2.031,0.0,8.384,8.334,69.097,57.273,61.668,58.613,52.504,0.587,0
18.627,1.451,2236.6,7.792,8.894,146.1,120.71,1.914,0.0,8.432,8.389,69.444,57.184,61.672,58.516,52.5,0.58,0
18.957,1.481,2234.2,7.651,8.96,145.94,120.59,1.977,0.0,8.443,8.395,69.356,57.246,61.387,58.621,52.488,0.637,0
19.042,1.5,2233.8,7.761,8.936,145.81,120.51,2.023,0.0,8.445,8.403,69.629,57.367,61.207,58.66,52.473,0.627,0
19.045,1.477,2234.2,7.66,8.932,145.96,120.52,2.031,0.0,8.41,8.361,69.405,57.281,61.512,58.687,52.473,0.576,0
19.101,1.49,2231.8,7.557,8.942,146.02,120.46,1.914,0.0,8.378,8.344,69.57,57.281,61.594,58.641,52.484,0.567,0
18.84,1.456,2231.6,7.771,8.894,145.88,120.74,1.914,0.0,8.433,8.392,69.785,57.266,61.586,58.531,52.469,0.58,0
19.054,1.493,2232.6,7.739,8.982,146.02,120.51,1.977,0.0,8.389,8.353,69.867,57.293,61.293,58.687,52.461,0.822,0
19.253,1.501,2235.4,7.664,8.924,146.02,120.66,2.008,0.0,8.417,8.376,69.066,57.273,61.551,58.543,52.301,0.573,0
19.0,1.485,2237.6,7.639,8.949,145.94,120.59,1.945,0.0,8.441,8.395,68.848,57.121,61.562,58.547,52.391,0.576,0
18.758,1.459,2234.2,7.686,8.984,145.92,120.57,2.055,0.0,8.39,8.351,69.229,57.105,61.437,58.473,52.395,0.574,0
19.286,1.509,2810.6,1.181,8.903,188.73,165.22,0.477,0.0,8.435,8.398,11.561,57.117,60.805,58.516,52.305,0.78,0
19.217,1.502,2236.0,7.663,8.955,146.3,120.88,2.086,0.0,8.4,8.359,69.727,57.094,61.383,58.621,52.395,0.585,0
18.838,1.47,2232.0,7.615,8.907,146.07,120.98,2.0,0.0,8.437,8.393,69.752,57.121,61.422,58.461,52.383,0.567,0
19.043,1.483,2229.8,7.797,8.939,145.97,120.56,2.086,0.0,8.391,8.342,69.944,57.129,61.156,58.531,52.383,0.628,0
18.779,1.465,2231.8,7.674,8.949,145.97,120.63,2.0,0.0,8.431,8.377,69.568,57.211,61.41,58.449,52.371,0.559,0
18.871,1.482,2233.6,7.708,8.932,145.94,120.35,2.109,0.0,8.402,8.348,69.648,57.195,61.172,58.539,52.367,0.616,0
18.803,1.474,2233.6,7.645,8.932,145.96,120.48,2.102,0.0,8.444,8.405,69.194,57.207,61.402,58.453,52.371,0.562,0
18.736,1.461,2231.8,7.681,8.945,146.03,120.56,2.0,0.0,8.422,8.375,69.086,57.121,61.43,58.437,52.383,0.572,0
18.794,1.47,2235.8,7.639,8.982,146.13,120.46,2.008,0.0,8.411,8.358,69.169,57.086,61.402,58.465,52.301,0.563,1
18.765,1.453,2239.6,7.595,8.967,146.09,120.53,2.008,0.0,8.455,8.393,69.184,57.039,61.422,58.312,52.297,0.591,1
18.758,1.452,2239.6,7.762,8.931,146.11,120.77,1.969,0.0,8.451,8.4,69.333,56.945,61.414,58.234,52.301,0.572,1
18.869,1.473,2235.8,7.651,8.947,146.18,120.59,2.109,0.0,8.443,8.391,69.067,56.863,61.332,58.203,52.129,0.566,1
19.12,1.481,2237.6,7.691,8.947,146.22,120.77,2.055,0.0,8.415,8.368,69.551,56.84,61.25,58.223,52.133,0.578,1
18.43,1.427,2235.8,7.735,8.983,146.13,120.65,2.031,0.0,8.407,8.361,69.454,56.789,61.238,58.031,52.062,0.575,1
18.618,1.446,2237.6,7.733,8.988,146.24,120.59,1.953,0.0,8.413,8.373,69.389,56.586,61.168,58.031,52.059,0.583,1
18.961,1.47,2235.8,7.755,9.003,146.3,120.72,2.008,0.0,8.444,8.387,69.281,56.602,61.156,58.043,52.062,0.575,1
18.754,1.45,2236.0,7.774,8.971,146.29,120.81,2.008,0.0,8.469,8.415,69.313,56.594,61.137,57.965,51.961,0.586,1
19.013,1.478,2239.6,7.644,8.948,146.16,120.69,1.953,0.0,8.467,8.417,69.367,56.602,61.125,57.953,51.902,0.58,1
18.811,1.459,2258.0,7.358,8.998,145.33,120.04,1.836,0.0,8.474,8.431,65.488,56.422,60.625,57.879,51.855,0.686,1
19.999,1.549,2257.8,7.377,8.989,145.48,120.17,1.867,0.0,8.447,8.393,65.379,56.398,60.418,57.949,51.535,0.663,0
18.999,1.47,2256.0,7.358,9.002,145.38,119.87,1.945,0.037,8.432,8.376,65.349,56.422,60.336,57.852,51.801,0.66,0
20.708,1.602,2255.8,7.5,9.005,145.22,120.05,1.844,0.0,8.427,8.375,65.511,56.43,60.234,58.047,51.398,0.678,0
19.938,1.56,2254.0,7.425,8.979,145.19,120.07,1.969,0.0,8.482,8.429,65.418,56.437,60.18,58.031,51.629,0.663,0
18.926,1.476,2253.8,7.324,8.962,145.24,120.02,1.937,0.0,8.449,8.398,65.344,56.609,60.203,58.043,51.957,0.663,0
20.615,1.615,2254.0,7.378,8.986,145.25,120.18,1.898,0.0,8.427,8.377,65.38,56.508,60.16,58.211,51.551,0.667,0
19.117,1.484,2834.0,1.179,8.98,188.09,165.13,0.711,0.0,8.403,8.356,11.457,56.574,59.676,58.203,52.023,0.845,0
19.852,1.547,2252.2,7.481,8.917,145.37,119.98,1.945,0.0,8.457,8.399,65.52,56.594,60.105,58.289,51.887,0.696,0
19.454,1.526,2254.0,7.341,8.974,145.23,120.0,1.922,0.0,8.403,8.356,65.239,56.77,60.18,58.449,52.129,0.647,0
18.95,1.477,2252.2,7.374,8.94,145.19,119.69,1.883,1.243,8.446,8.401,65.417,56.84,60.301,58.434,52.297,0.674,0
18.936,1.481,2255.8,7.376,8.954,145.18,119.81,1.844,0.0,8.389,8.345,65.292,56.852,60.316,58.461,52.297,0.654,0
19.058,1.503,2836.0,1.184,8.956,188.32,164.76,0.664,0.0,8.428,8.389,11.404,56.863,59.758,58.621,52.379,0.793,0
19.343,1.512,2252.0,7.399,8.931,145.23,119.84,1.898,0.0,8.393,8.354,65.508,56.996,60.312,58.687,52.379,0.66,0
19.003,1.49,2250.4,7.399,8.966,145.32,120.18,1.891,0.0,8.393,8.342,65.295,57.094,60.445,58.707,52.469,0.672,0
19.385,1.544,2252.2,7.322,8.954,145.21,119.94,1.789,0.0,8.427,8.376,65.317,57.215,60.559,58.867,52.484,0.672,0
19.015,1.496,2251.4,7.371,8.917,145.23,119.89,1.891,0.0,8.388,8.356,65.345,57.273,60.574,58.707,52.496,0.673,0
19.371,1.524,2250.0,7.311,8.929,145.19,119.94,2.062,0.0,8.384,8.344,65.326,57.273,60.602,58.883,52.484,0.663,0
19.252,1.522,2246.8,7.378,8.884,145.16,119.91,1.945,0.0,8.415,8.373,65.445,57.273,60.691,58.871,52.535,0.661,0
18.977,1.501,2246.0,7.404,8.886,145.25,120.02,1.883,0.0,8.413,8.372,65.547,57.277,60.73,58.785,52.527,0.67,0
19.157,1.522,2249.6,7.398,8.9,145.16,119.76,1.805,0.0,8.429,8.38,65.463,57.281,60.914,58.855,52.535,0.658,0
18.733,1.477,2251.8,7.326,8.869,145.16,119.96,1.945,0.0,8.428,8.382,64.906,57.277,61.234,58.68,52.543,0.605,0
19.0,1.51,2246.0,7.301,8.909,145.06,119.81,1.789,0.0,8.437,8.395,65.314,57.281,61.07,58.773,52.535,0.674,0
19.035,1.514,2251.6,7.348,8.924,145.22,119.7,1.969,0.0,8.443,8.385,65.247,57.266,60.926,58.777,52.488,0.665,0
18.765,1.476,2833.8,1.171,8.889,188.34,165.19,0.828,0.839,8.415,8.37,11.367,57.277,60.336,58.629,52.496,0.807,0
19.125,1.522,2263.6,7.429,8.934,145.91,120.74,2.281,8.57,8.375,8.339,65.485,57.379,60.887,58.945,52.617,0.693,0
19.137,1.522,2253.8,7.209,8.922,145.43,120.12,1.977,0.0,8.436,8.394,65.489,57.367,60.965,58.871,52.539,0.644,0
18.963,1.494,2257.6,7.373,8.911,145.48,120.24,1.945,0.0,8.373,8.334,64.865,57.262,61.332,58.77,52.551,0.584,0
18.939,1.502,2249.8,7.492,8.864,145.27,119.94,1.891,0.0,8.437,8.398,65.482,57.266,61.125,58.773,52.551,0.664,0
18.958,1.498,2254.0,7.536,8.921,145.51,119.98,1.914,0.0,8.425,8.385,65.549,57.277,61.004,58.773,52.555,0.65,0
19.102,1.519,2251.6,7.388,8.946,145.16,120.04,1.836,0.0,8.389,8.328,65.467,57.34,60.953,58.863,52.555,0.66,0
19.092,1.511,2252.0,7.378,8.839,145.23,119.94,1.883,0.0,8.427,8.38,65.153,57.293,60.926,58.863,52.551,0.677,0
19.137,1.516,2258.0,7.54,8.947,145.19,119.84,2.078,0.0,8.378,8.335,65.152,57.348,60.926,58.871,52.621,0.673,0
19.088,1.516,2250.0,7.343,8.938,145.41,120.27,2.0,0.0,8.377,8.334,65.632,57.355,60.934,58.949,52.641,0.646,0
18.91,1.504,2251.8,7.276,8.922,145.33,120.31,1.867,0.0,8.407,8.366,64.981,57.359,61.32,58.789,52.555,0.593,0
19.073,1.518,2252.0,7.425,8.905,145.23,120.13,1.914,0.0,8.434,8.374,65.32,57.266,61.09,58.871,52.562,0.674,0
19.105,1.511,2251.8,7.424,8.945,145.1,120.02,1.883,0.0,8.382,8.339,65.263,57.359,61.023,58.867,52.539,0.659,0
19.178,1.523,2253.6,7.374,8.908,145.27,119.91,1.867,0.0,8.441,8.395,65.37,57.445,60.953,58.891,52.555,0.649,0
19.206,1.521,2252.0,7.372,8.956,145.13,119.81,2.0,0.0,8.373,8.316,65.16,57.359,60.941,58.895,52.539,0.645,0
18.994,1.507,2253.6,7.308,8.911,145.01,119.76,2.008,0.0,8.401,8.359,65.137,57.445,60.922,58.883,52.641,0.676,0
19.416,1.553,2249.8,7.329,8.873,144.99,119.75,1.867,0.0,8.427,8.38,65.405,57.449,60.926,58.965,52.527,0.68,0
18.944,1.51,2236.0,7.453,8.898,145.22,120.08,1.977,0.0,8.373,8.33,66.681,57.449,60.914,58.898,52.605,0.676,1
19.146,1.527,2237.8,7.491,8.916,145.27,119.88,1.867,0.0,8.434,8.383,67.143,57.52,60.922,59.074,52.609,0.642,0
19.092,1.527,2237.8,7.468,8.896,145.34,119.91,1.937,0.0,8.373,8.317,66.67,57.504,60.969,59.082,52.699,0.658,0
19.037,1.534,2239.6,7.409,8.867,145.34,120.02,1.914,0.0,8.418,8.37,66.594,57.516,60.961,59.055,52.695,0.66,0
18.89,1.505,2236.0,7.368,8.922,145.29,119.94,2.023,0.0,8.377,8.331,66.752,57.539,61.02,58.977,52.699,0.647,0
19.064,1.523,2238.2,7.443,8.911,145.19,119.96,2.047,0.0,8.418,8.373,66.661,57.516,61.004,59.074,52.699,0.669,0
18.647,1.489,2238.4,7.401,8.904,145.42,120.1,1.859,0.0,8.358,8.321,66.427,57.512,61.426,58.906,52.711,0.591,0
18.911,1.515,2239.6,7.506,8.905,145.21,119.97,1.969,0.0,8.397,8.349,66.702,57.437,61.18,58.965,52.707,0.65,0
19.2,1.53,2238.2,7.549,8.919,145.24,120.1,1.883,0.0,8.406,8.358,66.659,57.531,61.156,58.992,52.617,0.675,0
19.21,1.53,2236.0,7.459,8.949,145.27,119.94,1.992,0.0,8.366,8.318,66.965,57.504,61.098,58.988,52.605,0.674,0
18.925,1.502,2241.6,7.464,8.88,145.43,120.23,1.812,0.0,8.41,8.361,66.273,57.516,61.41,58.898,52.617,0.59,0
19.111,1.525,2239.8,7.476,8.929,145.41,120.07,1.898,0.0,8.388,8.344,67.072,57.355,61.145,58.973,52.621,0.645,0
18.895,1.505,2241.8,7.531,8.942,145.38,119.97,1.859,0.0,8.392,8.337,66.752,57.492,61.156,58.797,52.551,0.648,0
18.737,1.482,2243.8,7.404,8.933,145.76,120.07,1.914,0.0,8.446,8.393,66.404,57.445,61.441,58.652,52.484,0.582,0
19.095,1.503,2239.8,7.578,8.908,145.38,120.02,1.891,0.0,8.384,8.333,66.665,57.277,61.168,58.816,52.484,0.674,0
19.204,1.531,2241.2,7.546,8.929,145.33,119.97,1.922,0.0,8.427,8.375,66.619,57.398,61.109,58.895,52.484,0.654,0
19.009,1.515,2239.4,7.37,8.891,145.23,120.13,1.953,0.0,8.406,8.359,67.006,57.254,61.145,58.801,52.512,0.642,0
19.238,1.53,2240.0,7.504,8.961,145.48,120.1,2.055,0.0,8.399,8.336,66.58,57.344,61.047,58.883,52.473,0.671,0
18.978,1.512,2240.0,7.423,8.874,145.49,120.04,1.891,0.0,8.435,8.391,66.748,57.367,60.969,58.785,52.488,0.662,0
18.755,1.481,2236.2,7.404,8.926,145.33,119.78,1.953,0.0,8.385,8.33,66.749,57.348,60.941,58.707,52.496,0.656,0
19.157,1.528,2239.2,7.435,8.885,145.13,119.89,1.992,0.0,8.41,8.349,66.97,57.266,60.937,58.871,52.488,0.656,0
19.068,1.522,2240.2,7.471,8.903,145.19,120.12,1.844,0.0,8.441,8.384,66.434,57.367,60.937,58.895,52.523,0.648,0
19.068,1.515,2819.2,1.167,8.875,188.6,165.07,0.727,0.0,8.373,8.326,11.492,57.266,60.355,58.855,52.539,0.797,0
18.991,1.525,2244.8,7.622,8.898,145.77,120.69,1.992,7.35,8.405,8.351,68.4,57.355,60.914,59.047,52.715,0.681,0
18.844,1.489,2240.6,7.346,8.884,145.34,119.84,2.023,0.0,8.38,8.333,66.388,57.437,61.305,58.867,52.633,0.576,0
18.974,1.523,2239.0,7.406,8.884,145.32,120.06,2.062,0.0,8.406,8.369,67.03,57.348,61.09,58.961,52.629,0.644,0
18.768,1.491,2241.6,7.421,8.898,145.57,120.1,1.719,0.0,8.377,8.335,67.127,57.434,61.02,58.863,52.629,0.656,0
18.601,1.475,2241.8,7.462,8.904,145.79,120.35,1.828,0.0,8.401,8.357,66.679,57.445,61.395,58.703,52.543,0.585,0
18.99,1.521,2239.8,7.356,8.924,145.59,119.87,2.023,0.0,8.436,8.377,66.916,57.273,61.156,58.789,52.473,0.657,0
18.961,1.505,2241.6,7.473,8.955,145.29,120.05,1.914,0.0,8.378,8.329,66.686,57.359,61.043,58.797,52.504,0.635,0
19.188,1.535,2238.0,7.41,8.9,145.35,120.26,1.953,0.0,8.434,8.393,66.659,57.355,60.992,58.863,52.504,0.641,0
18.65,1.477,2242.0,7.303,8.924,145.46,120.26,1.844,0.0,8.377,8.335,66.234,57.266,61.359,58.648,52.512,0.576,0
18.725,1.476,2241.4,7.467,8.94,145.35,119.96,2.008,0.0,8.382,8.351,66.789,57.254,61.113,58.629,52.496,0.652,0
18.612,1.481,2235.8,7.561,8.956,145.35,120.17,1.812,0.0,8.405,8.345,66.905,57.262,61.008,58.602,52.484,0.659,0
18.968,1.512,2236.8,7.416,8.908,145.49,120.05,2.055,0.0,8.42,8.377,66.902,57.277,60.926,58.777,52.484,0.655,0
18.975,1.512,2237.8,7.406,8.898,145.56,119.84,2.0,0.0,8.415,8.372,66.96,57.273,60.91,58.797,52.484,0.659,0
18.957,1.513,2239.0,7.45,8.915,145.54,120.12,1.914,0.0,8.382,8.34,66.909,57.262,60.926,58.785,52.523,0.662,0
18.862,1.507,2239.0,7.395,8.914,145.44,119.91,1.891,1.069,8.435,8.39,66.834,57.367,60.914,58.797,52.527,0.644,0
18.832,1.505,2239.4,7.439,8.92,145.52,120.09,1.836,0.0,8.407,8.368,66.797,57.273,61.008,58.777,52.488,0.648,0
19.219,1.54,2236.0,7.476,8.962,145.19,120.14,1.922,0.0,8.377,8.328,66.876,57.379,60.934,58.871,52.488,0.661,0
19.247,1.54,2237.8,7.473,8.891,145.4,120.02,1.953,0.0,8.443,8.384,66.971,57.273,60.934,58.852,52.488,0.641,0
18.779,1.499,2232.2,7.663,8.944,145.92,120.48,2.023,0.0,8.377,8.331,69.213,57.367,61.336,58.695,52.477,0.575,1
18.821,1.495,2231.6,7.731,8.922,145.84,120.57,1.969,0.0,8.42,8.384,69.137,57.301,61.449,58.691,52.477,0.585,0
18.484,1.461,2231.8,7.764,8.901,145.94,120.57,2.102,0.0,8.388,8.346,69.251,57.277,61.531,58.527,52.469,0.586,0
18.88,1.506,2231.8,7.634,8.962,145.87,120.48,1.914,0.0,8.442,8.405,69.049,57.195,61.48,58.613,52.383,0.579,0
18.829,1.483,2230.0,7.589,8.942,146.19,120.59,1.992,0.0,8.41,8.354,69.196,57.117,61.441,58.445,52.297,0.582,0
18.6,1.465,2233.8,7.756,8.944,146.09,120.67,2.172,0.0,8.417,8.366,69.659,57.012,61.414,58.379,52.305,0.588,0
18.613,1.468,2229.8,7.806,8.939,146.19,120.74,1.969,0.0,8.446,8.399,69.566,56.957,61.422,58.301,52.219,0.587,0
18.766,1.49,2233.8,7.691,8.938,146.18,120.69,1.953,0.0,8.413,8.37,69.157,56.922,61.398,58.305,52.125,0.587,0
18.625,1.468,2234.8,7.814,8.969,146.07,120.74,1.945,0.0,8.441,8.388,69.201,56.781,61.281,58.207,52.117,0.573,0
18.705,1.474,2235.8,7.676,8.964,146.11,120.65,2.141,0.0,8.462,8.406,69.409,56.781,61.227,58.141,52.062,0.571,0
18.89,1.498,2232.8,7.739,8.944,145.91,120.41,2.109,0.0,8.457,8.407,69.566,56.695,60.934,58.246,52.047,0.643,0
18.666,1.473,2230.0,7.743,8.972,146.27,120.56,2.023,0.0,8.453,8.401,69.553,56.828,61.125,58.121,52.059,0.587,0
18.341,1.446,2237.6,7.745,8.951,145.94,120.79,1.898,0.0,8.455,8.415,69.143,56.758,61.172,58.047,52.066,0.576,0
18.759,1.473,2237.6,7.64,8.964,146.08,120.66,2.133,0.0,8.455,8.415,69.539,56.691,61.137,58.047,51.961,0.568,0
18.922,1.485,2240.0,7.726,8.989,146.19,120.83,2.047,0.0,8.427,8.372,69.307,56.613,61.152,58.031,51.879,0.571,0
18.598,1.478,2239.8,7.768,9.034,146.2,120.77,1.977,0.0,8.463,8.418,69.29,56.598,61.109,57.91,51.879,0.579,0
18.813,1.475,2239.0,7.676,8.961,146.21,120.69,2.031,0.0,8.431,8.385,69.35,56.52,61.031,57.879,51.797,0.596,0
18.979,1.489,2241.0,7.744,8.985,146.3,120.74,2.008,0.0,8.465,8.415,69.111,56.43,60.961,57.859,51.719,0.567,0
18.773,1.48,2242.8,7.699,9.029,146.16,120.83,2.117,0.0,8.458,8.413,69.076,56.449,60.914,57.773,51.719,0.561,0
18.732,1.467,2239.8,7.706,9.046,146.13,120.81,1.977,0.0,8.463,8.405,69.21,56.437,60.941,57.777,51.715,0.575,0
18.715,1.469,2241.8,7.67,8.984,146.08,120.8,2.062,0.0,8.455,8.413,69.386,56.422,60.934,57.711,51.652,0.573,0
18.531,1.448,2242.0,7.694,9.004,146.27,121.06,1.953,0.0,8.45,8.407,69.156,56.355,60.867,57.613,51.625,0.565,0
19.858,1.553,2241.8,7.724,9.009,146.26,120.69,1.969,0.0,8.457,8.408,69.205,56.254,60.805,57.602,51.215,0.577,0
18.79,1.469,2241.8,7.699,9.002,146.26,120.93,2.023,0.0,8.486,8.43,69.275,56.199,60.789,57.598,51.547,0.566,0
20.032,1.565,2242.0,7.684,9.038,146.33,121.04,2.047,0.0,8.44,8.389,69.094,56.176,60.703,57.609,51.148,0.578,0
19.935,1.551,2239.8,7.756,9.027,146.11,120.79,1.977,0.0,8.462,8.413,69.124,56.172,60.656,57.527,51.125,0.581,0
18.828,1.476,2243.8,7.702,9.029,146.29,120.75,1.937,0.0,8.495,8.441,69.148,56.168,60.637,57.52,51.457,0.565,0
18.762,1.462,2243.8,7.761,9.056,146.19,120.73,1.937,0.0,8.448,8.402,69.455,56.16,60.613,57.434,51.402,0.557,0
19.901,1.552,2243.6,7.676,9.022,146.4,120.63,2.023,0.0,8.495,8.439,69.302,56.082,60.574,57.461,51.062,0.573,0
20.038,1.564,2246.0,7.746,9.059,146.39,120.88,1.953,0.0,8.463,8.412,69.129,56.07,60.574,57.426,50.992,0.577,0
20.128,1.572,2244.0,7.691,9.025,146.21,121.13,2.023,0.0,8.462,8.402,69.246,56.0,60.566,57.437,50.992,0.556,0
20.138,1.575,2246.8,7.744,9.036,146.09,120.94,2.031,0.0,8.514,8.464,69.041,56.012,60.566,57.34,50.969,0.582,0
20.155,1.567,2248.2,7.63,9.066,146.27,121.06,1.969,0.0,8.491,8.436,69.005,55.996,60.52,57.332,50.914,0.554,0
20.435,1.584,2245.8,7.632,9.078,146.3,120.93,2.008,0.0,8.457,8.406,69.294,55.984,60.5,57.262,50.77,0.572,0
20.555,1.62,2245.8,7.684,9.045,146.45,121.03,2.0,0.0,8.507,8.46,69.059,55.91,60.437,57.34,50.754,0.56,0
20.276,1.582,2249.8,7.665,9.031,146.31,120.88,2.117,0.0,8.454,8.398,69.118,55.941,60.422,57.25,50.766,0.569,0
19.039,1.481,2249.8,7.646,9.014,146.48,120.72,1.977,0.0,8.517,8.471,69.051,55.844,60.391,57.168,51.137,0.554,0
20.425,1.596,2252.0,7.69,9.076,146.16,120.87,2.109,0.0,8.509,8.458,69.164,55.84,60.367,57.258,50.738,0.574,0
20.063,1.551,2247.8,7.668,9.068,146.26,120.87,1.992,0.0,8.488,8.429,69.164,55.836,60.336,57.18,50.758,0.575,0
20.125,1.568,2247.6,7.788,9.055,146.29,120.65,1.977,0.0,8.505,8.453,69.191,55.75,60.312,57.172,50.785,0.579,0
20.236,1.579,2245.8,7.676,9.017,146.27,120.93,2.047,0.0,8.517,8.459,69.199,55.84,60.316,57.098,50.652,0.57,0
26.345,2.052,2247.8,7.681,9.016,146.35,121.02,1.953,0.0,8.504,8.45,69.282,55.508,60.195,57.09,48.586,0.565,1
27.716,2.151,2251.8,7.638,9.069,146.63,121.19,2.047,0.0,8.505,8.45,69.102,54.426,59.598,56.766,47.953,0.565,1
27.856,2.135,2259.6,7.718,9.109,146.63,121.19,1.898,0.0,8.569,8.519,69.078,53.762,58.98,56.172,47.465,0.57,1
28.067,2.14,2260.0,7.679,9.123,146.64,121.22,2.031,0.0,8.635,8.569,69.073,53.187,58.414,55.695,47.039,0.553,1
27.794,2.098,2266.6,7.741,9.16,146.85,121.52,2.0,0.0,8.658,8.594,69.078,52.59,57.914,55.262,46.801,0.566,1
27.437,2.049,2271.4,7.728,9.194,146.97,121.19,2.023,0.0,8.661,8.606,68.948,52.168,57.457,54.754,46.551,0.555,1
26.924,1.979,2274.0,7.745,9.237,147.13,121.67,1.914,0.0,8.727,8.658,68.997,51.758,57.078,54.336,46.367,0.547,1
26.828,1.949,2280.0,7.873,9.281,147.23,121.69,2.086,0.0,8.757,8.689,69.066,51.426,56.687,53.996,46.125,0.557,1
26.622,1.926,2278.0,7.854,9.281,147.32,121.7,1.977,0.0,8.743,8.678,68.98,51.066,56.316,53.582,45.863,0.55,1
26.438,1.89,2285.6,7.681,9.307,147.23,121.91,2.0,0.0,8.777,8.705,68.91,50.754,55.992,53.242,45.707,0.558,1
26.551,1.889,2284.0,7.758,9.352,147.31,121.79,2.047,0.0,8.743,8.682,69.008,50.473,55.668,52.906,45.402,0.545,1
26.385,1.858,2287.0,7.66,9.334,147.36,121.78,2.008,0.0,8.795,8.729,68.95,50.219,55.465,52.703,45.309,0.558,1
26.23,1.834,2287.0,7.796,9.349,147.5,122.14,2.031,0.0,8.849,8.776,68.944,50.039,55.223,52.414,45.133,0.574,1
26.153,1.815,2293.2,7.698,9.381,147.4,121.88,2.117,0.0,8.829,8.768,68.993,49.809,54.977,52.152,44.961,0.573,1
26.36,1.821,2290.2,7.766,9.379,147.58,121.91,2.0,0.0,8.839,8.776,68.972,49.625,54.719,51.984,44.809,0.552,1
26.258,1.8,2287.8,7.676,9.39,147.4,121.99,2.062,0.0,8.844,8.773,68.946,49.41,54.559,51.734,44.621,0.559,1
26.479,1.802,2296.0,7.839,9.423,147.62,122.18,1.977,0.0,8.852,8.788,69.011,49.242,54.402,51.566,44.543,0.564,1
26.223,1.783,2294.0,7.931,9.448,147.66,121.84,1.969,0.0,8.856,8.795,68.988,49.16,54.215,51.395,44.379,0.555,1
26.33,1.784,2295.8,7.848,9.454,147.72,122.25,2.078,0.0,8.862,8.785,68.956,48.973,54.105,51.227,44.223,0.544,1
26.327,1.785,2296.0,7.701,9.484,147.86,122.09,2.156,0.0,8.849,8.78,69.02,48.824,53.953,51.133,44.129,0.544,1
26.507,1.79,2298.0,7.749,9.479,147.86,122.2,2.102,0.0,8.873,8.804,69.02,48.746,53.887,51.0,43.973,0.548,1
26.1,1.767,2300.2,7.766,9.479,147.74,122.12,2.023,0.0,8.903,8.826,69.069,48.652,53.727,50.895,43.984,0.555,1
26.214,1.767,2299.8,7.711,9.461,147.74,122.2,2.187,0.0,8.935,8.87,68.859,48.531,53.602,50.789,43.895,0.555,1
26.11,1.749,2302.8,7.666,9.496,147.88,122.27,2.078,0.0,8.903,8.837,68.788,48.465,53.562,50.633,43.812,0.545,1
26.247,1.758,2307.6,7.788,9.524,147.84,122.33,1.969,0.0,8.898,8.83,68.835,48.363,53.441,50.586,43.742,0.55,1
26.29,1.751,2306.0,7.773,9.548,147.94,122.23,2.117,0.0,8.929,8.856,68.95,48.324,53.418,50.461,43.652,0.563,1
26.153,1.734,2306.0,7.907,9.533,147.82,122.14,2.047,0.0,8.903,8.832,68.929,48.215,53.344,50.312,43.562,0.54,1
26.469,1.751,2310.0,7.819,9.578,147.95,122.45,2.109,0.0,8.913,8.835,68.75,48.133,53.25,50.305,43.484,0.535,1
26.458,1.754,2304.0,7.869,9.537,147.88,122.43,1.945,0.0,8.951,8.882,69.168,48.109,53.184,50.219,43.484,0.536,1
26.516,1.753,2303.4,7.838,9.547,147.99,122.41,2.031,0.0,8.95,8.88,68.94,48.121,53.211,50.121,43.312,0.55,1
26.213,1.728,2303.8,7.741,9.562,147.99,122.28,2.156,0.0,8.924,8.844,68.988,47.984,53.102,50.043,43.309,0.556,1
26.24,1.734,2310.2,7.859,9.557,147.97,122.33,2.133,0.0,8.906,8.832,68.893,47.891,53.023,50.031,43.297,0.579,1
26.059,1.714,2305.6,7.751,9.537,148.01,122.53,2.047,0.0,8.94,8.876,68.911,47.879,52.949,49.973,43.312,0.546,1
26.299,1.718,2302.0,7.783,9.552,148.1,122.59,2.062,0.0,8.911,8.833,68.791,47.883,52.937,49.926,43.219,0.57,1
26.424,1.738,2308.0,7.759,9.53,148.17,122.51,2.086,0.0,8.951,8.882,68.844,47.812,52.859,49.879,43.148,0.558,1
26.202,1.712,2304.4,7.704,9.556,148.1,122.39,2.055,0.0,8.979,8.909,68.935,47.73,52.855,49.801,43.148,0.553,1
26.329,1.719,2304.8,7.733,9.577,148.02,122.57,2.086,0.0,8.951,8.885,68.94,47.719,52.777,49.711,43.047,0.553,1
